,Unnamed: 0,ID,Name,PhotoURL
0,0.0,1,Caroline Lucas,https://commons.wikimedia.org/wiki/File:Official_portrait_of_Caroline_Lucas_MP_crop_2.jpg
1,1.0,2,Rachel Hopkins,https://upload.wikimedia.org/wikipedia/commons/a/a5/Official_portrait_of_Rachel_Hopkins_MP_crop_2%2C_2023.jpg
2,,Q24052782,Carla Lockhart,
3,,Q19875589,Carol Monaghan,
4,,Q19870758,Caroline Ansell,
5,,Q300107,Caroline Dinenage,
6,,Q27979810,Caroline Johnson,
7,,Q9670,Caroline Lucas,
8,,Q577227,Caroline Nokes,
9,,Q19958026,Carolyn Harris,
10,,Q19930597,Cat Smith,
11,,Q30173119,Preet Gill,
12,,Q575733,Priti Patel,
13,,Q306250,Robert Syms,
14,,Q263076,Robin Walker,
15,,Q391094,Roger Gale,
16,,Q24668273,Rosena Allin-Khan,
17,,Q290855,Rosie Cooper,
18,,Q30164380,Rosie Duffield,
19,,Q261773,Rosie Winterton,
20,,Q20648372,Royston Smith,
21,,Q76363937,Sam Tarry,
22,,Q76449003,Saqib Bhatti,
23,,Q76363563,Sara Britcliffe,
24,,Q76363249,Sarah Atherton,
25,,Q7422176,Sarah Champion,
26,,Q76364344,Sarah Dines,
27,,Q27942399,Sarah Olney,
28,,Q75621688,Sarah Owen,
29,,Q391169,Barry Gardiner,
30,,Q477464,Barry Sheerman,
31,,Q76364048,Bell Ribeiro-Addy,
32,,Q264618,Ben Bradshaw,
33,,Q76364469,Ben Everitt,
34,,Q30172752,Ben Lake,
35,,Q727852,Bernard Jenkin,
36,,Q76363918,Beth Winter,
37,,Q269449,Bill Cash,
38,,Q303465,Bill Esterson,
39,,Q265900,Bill Wiggin,
40,,Q30174692,Bim Afolami,
41,,Q263875,Bob Blackman,
42,,Q577771,Bob Neill,
43,,Q30234248,Bob Seely,
44,,Q180589,Boris Johnson,
45,,Q749687,Brandon Lewis,
46,,Q63929253,Brendan Clarke-Smith,
47,,Q575337,Bridget Phillipson,
48,,Q75818967,Dave Doogan,
49,,Q259646,David Amess,
50,,Q303883,David Evennett,
51,,Q534727,David Lammy,
52,,Q333520,David Mundell,
53,,Q479064,David Rutley,
54,,Q76363601,David Simmonds,
55,,Q296797,David TC Davies,
56,,Q5240825,David Warburton,
57,,Q5242429,Dawn Butler,
58,,Q76450658,Dean Russell,
59,,Q258088,Debbie Abrahams,
60,,Q76364853,Dehenna Davison,
61,,Q19871637,Deidre Brock,
62,,Q272098,Derek Twigg,
63,,Q327823,Desmond Swayne,
64,,Q20127909,Holly Lynch,
65,,Q76363388,Holly Mumby-Croft,
66,,Q20195263,Huw Merriman,
67,,Q14948811,John Nicolson,
68,,Q575513,John Penrose,
69,,Q333846,John Redwood,
70,,Q389677,John Spellar,
71,,Q264684,John Whittingdale,
72,,Q291591,Jon Cruddas,
73,,Q272234,Jon Trickett,
74,,Q259895,Jonathan Ashworth,
75,,Q300142,Jonathan Djanogly,
76,,Q76363124,Jonathan Gullis,
77,,Q695241,Jonathan Lord,
78,,Q501926,Jonathan Reynolds,
79,,Q63929106,Joy Morrissey,
80,,Q19957188,Judith Cummins,
81,,Q749612,Julian Lewis,
82,,Q328608,Julian Sturdy,
83,,Q303011,Julie Elliott,
84,,Q76362964,Julie Marson,
85,,Q78236114,List of MPs elected in the 2019 United Kingdom general election,
86,,Q19883132,Patricia Gibson,
87,,Q19883135,Patrick Grady,
88,,Q263243,Paul Beresford,
89,,Q264132,Paul Blomfield,
90,,Q76364834,Paul Bristow,
91,,Q7150909,Paul Girvan,
92,,Q694929,Paul Maskey,
93,,Q694881,Paul Maynard,
94,,Q20647800,Paul Scully,
95,,Q76363951,Paula Barker,
96,,Q110863310,Paulette Hamilton,
97,,Q750135,Pauline Latham,
98,,Q580464,Penny Mordaunt,
99,,Q261675,Pete Wishart,
100,,Q258963,Peter Aldous,
101,,Q264426,Peter Bone,
102,,Q264477,Peter Bottomley,
103,,Q19957586,Peter Dowd,
104,,Q20113749,Peter Kyle,
105,,Q271683,Rehman Chishti,
106,,Q19871710,Richard Burgon,
107,,Q302187,Richard Drax,
108,,Q98626667,Richard Foord,
109,,Q20055561,Rishi Sunak,
110,,Q269853,Robert Buckland,
111,,Q27671735,Robert Courts,
112,,Q391644,Robert Goodwill,
113,,Q392375,Robert Halfon,
114,,Q17180679,Robert Jenrick,
115,,Q76363319,Robert Largan,
116,,Q266978,Valerie Vaz,
117,,Q441532,Vicky Ford,
118,,Q19957802,Vicky Foxcroft,
119,,Q19938362,Victoria Atkins,
120,,Q20054083,Victoria Prentis,
121,,Q478387,Virendra Sharma,
122,,Q76363411,Virginia Crosbie,
123,,Q19957790,Colleen Fletcher,
124,,Q5149523,Colum Eastwood,
125,,Q269925,Conor Burns,
126,,Q5162256,Conor McGinn,
127,,Q5181182,Craig Mackinlay,
128,,Q20195470,Craig Tracey,
129,,Q264636,Craig Whittaker,
130,,Q264305,Crispin Blunt,
131,,Q478161,Matt Hancock,
132,,Q30164903,Matt Rodda,
133,,Q76362976,Matt Vickers,
134,,Q20648556,Matt Warman,
135,,Q30164376,Matt Western,
136,,Q576537,Matthew Offord,
137,,Q20203414,Matthew Pennycook,
138,,Q676658,Meg Hillier,
139,,Q328769,Mel Stride,
140,,Q7380182,Rupa Huq,
141,,Q259423,Rushanara Ali,
142,,Q19871785,Ruth Cadbury,
143,,Q76450717,Ruth Edwards,
144,,Q727798,Sajid Javid,
145,,Q76364330,Sally-Ann Hart,
146,,Q266146,Chris Bryant,
147,,Q24053857,Chris Elmore,
148,,Q337453,Chris Grayling,
149,,Q5106839,Chris Hazzard,
150,,Q673322,Chris Heaton-Harris,
151,,Q19875413,Chris Law,
152,,Q76364033,Chris Loder,
153,,Q16972528,Chris Philp,
154,,Q575266,Chris Pincher,
155,,Q391526,Chris Skidmore,
156,,Q19059345,Chris Stephens,
157,,Q76363097,Christian Wakeford,
158,,Q20648332,Christina Rees,
159,,Q30164696,Christine Jardine,
160,,Q271715,Christopher Chope,
161,,Q76364263,Claire Coutinho,
162,,Q20631177,Claire Hanna,
163,,Q5129278,Claudia Webbe,
164,,Q263508,Clive Betts,
165,,Q302939,Clive Efford,
166,,Q19938322,Edward Argar,
167,,Q749980,Edward Leigh,
168,,Q272318,Edward Timpson,
169,,Q750188,Eleanor Laing,
170,,Q30234240,Ellie Reeves,
171,,Q76363641,Elliot Colburn,
172,,Q272408,Emily Thornberry,
173,,Q30234242,Emma Hardy,
174,,Q16190712,Emma Lewell-Buck,
175,,Q76364829,Gagan Mohindra,
176,,Q5522788,Gareth Bacon,
177,,Q727981,Gareth Johnson,
178,,Q76363034,Gary Sambrook,
179,,Q328791,Gary Streeter,
180,,Q19883145,Gavin Newlands,
181,,Q5528262,Gavin Robinson,
182,,Q262409,Gavin Williamson,
183,,Q285183,Geoffrey Clifton-Brown,
184,,Q303510,George Eustice,
185,,Q689546,George Howarth,
186,,Q20647531,Gerald Jones,
187,,Q5561727,Giles Watling,
188,,Q24034408,Gill Furniss,
189,,Q30232942,Gillian Keegan,
190,,Q264662,Graham Brady,
191,,Q328737,Graham Stringer,
192,,Q580215,Grahame Morris,
193,,Q478596,Grant Shapps,
194,,Q76363500,Miriam Cates,
195,,Q75838676,Munira Wilson,
196,,Q259361,Nadhim Zahawi,
197,,Q76363111,Nadia Whittome,
198,,Q258586,Nadine Dorries,
199,,Q75583507,Theo Clarke,
200,,Q264766,Theresa May,
201,,Q266793,Theresa Villiers,
202,,Q19874642,Andrea Jenkyns,
203,,Q750091,Andrea Leadsom,
204,,Q265028,Andrew Bridgen,
205,,Q76736652,Andrew Griffith,
206,,Q392216,Andrew Gwynne,
207,,Q16980037,Andrew Lewer,
208,,Q333261,Andrew Mitchell,
209,,Q578234,Andrew Murrison,
210,,Q575493,Andrew Percy,
211,,Q480092,Andrew Rosindell,
212,,Q478714,Andrew Selous,
213,,Q341570,Andrew Stephenson,
214,,Q391341,Andy Slaughter,
215,,Q19883053,Angela Crawley,
216,,Q302763,Angela Eagle,
217,,Q18164278,Angela Rayner,
218,,Q76363854,Angela Richardson,
219,,Q695092,Angus MacNeil,
220,,Q54670211,Anna Firth,
221,,Q30164279,Anna McMorrin,
222,,Q20648244,Anne-Marie Trevelyan,
223,,Q580321,Anne Marie Morris,
224,,Q373047,Anne McLaughlin,
225,,Q16529268,Anneliese Dodds,
226,,Q76450714,Anthony Mangnall,
