,Unnamed: 0,MP,University,Subject
0,0.0,1,1,1
1,1.0,1,2,2
2,2.0,2,3,3
3,3.0,2,4,4
0,,Q24052782,5,
0,,Q19875589,6,
0,,Q19870758,7,
1,,Q19870758,7,
0,,Q300107,8,
0,,Q27979810,9,
0,,Q577227,7,
0,,Q19958026,8,
0,,Q19930597,12,
0,,Q30173119,13,
0,,Q263076,14,
0,,Q24668273,15,
1,,Q24668273,15,
0,,Q290855,16,
0,,Q261773,17,
0,,Q76363563,18,
0,,Q76363249,19,
0,,Q7422176,20,
0,,Q27942399,21,
0,,Q477464,22,
0,,Q264618,7,
0,,Q76363918,8,
0,,Q269449,25,
0,,Q303465,26,
0,,Q265900,19,
0,,Q577771,22,
0,,Q749687,29,
1,,Q749687,29,
2,,Q749687,21,
0,,Q575337,30,
0,,Q75818967,31,
0,,Q333520,32,
1,,Q333520,32,
0,,Q479064,22,
1,,Q479064,33,
0,,Q76363601,34,
0,,Q5240825,21,
0,,Q76450658,36,
0,,Q258088,16,
1,,Q258088,37,
0,,Q76364853,17,
0,,Q20127909,12,
0,,Q20195263,40,
1,,Q20195263,40,
0,,Q14948811,41,
0,,Q575513,42,
1,,Q575513,42,
0,,Q333846,43,
1,,Q333846,43,
0,,Q291591,44,
0,,Q272234,17,
1,,Q272234,26,
0,,Q259895,34,
0,,Q76363124,47,
0,,Q695241,48,
0,,Q501926,18,
0,,Q63929106,22,
0,,Q328608,51,
0,,Q19883132,41,
0,,Q19883135,6,
0,,Q263243,54,
0,,Q264132,55,
0,,Q76364834,12,
0,,Q694881,57,
0,,Q20647800,58,
0,,Q261675,32,
0,,Q258963,58,
0,,Q264477,61,
0,,Q20113749,7,
0,,Q19871710,63,
0,,Q302187,64,
1,,Q302187,64,
0,,Q269853,65,
0,,Q27671735,20,
0,,Q392375,1,
0,,Q17180679,63,
0,,Q76363319,18,
0,,Q441532,61,
0,,Q19957802,36,
0,,Q19938362,72,
0,,Q20054083,7,
1,,Q20054083,42,
0,,Q478387,22,
0,,Q269925,75,
0,,Q5162256,76,
0,,Q5181182,77,
0,,Q30164903,7,
0,,Q20648556,34,
0,,Q30164376,80,
0,,Q20203414,22,
1,,Q20203414,14,
0,,Q676658,82,
0,,Q328769,83,
0,,Q7380182,13,
1,,Q7380182,84,
2,,Q7380182,84,
0,,Q259423,85,
1,,Q259423,85,
0,,Q19871785,37,
0,,Q5106839,87,
0,,Q16972528,57,
0,,Q575266,22,
0,,Q76363097,12,
1,,Q76363097,90,
0,,Q20648332,91,
0,,Q30164696,41,
0,,Q76364263,93,
0,,Q20631177,90,
0,,Q5129278,95,
1,,Q5129278,36,
0,,Q263508,96,
0,,Q19938322,97,
0,,Q749980,40,
0,,Q750188,32,
0,,Q30234240,100,
0,,Q76363641,101,
0,,Q272408,102,
0,,Q30234242,26,
1,,Q30234242,16,
0,,Q16190712,34,
1,,Q16190712,104,
0,,Q76364829,21,
0,,Q328791,21,
0,,Q19883145,107,
0,,Q5528262,5,
0,,Q262409,109,
0,,Q24034408,110,
0,,Q580215,104,
1,,Q580215,111,
0,,Q75838676,112,
0,,Q259361,113,
0,,Q75583507,9,
0,,Q266793,80,
1,,Q266793,40,
2,,Q266793,115,
0,,Q19874642,90,
0,,Q265028,117,
0,,Q76736652,117,
0,,Q16980037,9,
0,,Q333261,120,
0,,Q578234,121,
1,,Q578234,80,
2,,Q578234,121,
3,,Q578234,121,
0,,Q575493,26,
1,,Q575493,122,
0,,Q478714,22,
0,,Q391341,1,
0,,Q19883053,41,
1,,Q19883053,125,
0,,Q302763,85,
0,,Q18164278,127,
0,,Q695092,6,
0,,Q54670211,34,
0,,Q30164279,130,
1,,Q30164279,75,
0,,Q580321,30,
0,,Q76450714,1,
0,,Q76363542,17,
1,,Q76363542,40,
0,,Q106828783,125,
0,,Q30165327,18,
1,,Q30165327,25,
0,,Q30234245,64,
0,,Q269697,18,
1,,Q269697,137,
0,,Q392064,112,
0,,Q19871819,41,
1,,Q19871819,125,
2,,Q19871819,6,
0,,Q578037,9,
0,,Q750260,141,
0,,Q19868633,101,
0,,Q30165748,101,
0,,Q30165113,109,
1,,Q30165113,7,
0,,Q19957811,84,
0,,Q30164902,1,
0,,Q265870,147,
0,,Q20647819,18,
0,,Q19958093,149,
0,,Q694759,150,
0,,Q291502,151,
1,,Q291502,22,
0,,Q291393,80,
1,,Q291393,152,
0,,Q7609085,153,
0,,Q332979,154,
0,,Q3377178,141,
0,,Q260546,151,
0,,Q390756,26,
0,,Q63929279,77,
0,,Q52587398,87,
