,architecture,area and gender studies,business,communication and information sciences,education,fine and performing arts,history,interdisciplinary,language and literature,law and legal studies,philosophy and religious studies,social sciences,agriculture,behavioural sciences,biological sciences,ecosystem sciences,engineering,environmental sciences,geosciences,health and medical sciences,mathematical and physical sciences
integrated wildlife conservation,10.454322993015658,9.791470205901764,11.017935184627017,10.018358555703193,10.803966282983119,10.427344867658299,10.007514373662254,9.980626471725735,9.923785386050877,11.420488906056352,10.547138837652154,10.37447661917687,9.90957864848613,10.542423719113591,9.609608718222713,7.86956916688723,10.327580876489815,8.92158842758253,8.958723920888461,10.604192508273108,10.650586817219326
politics and tourism,10.404288966214468,9.638579808534143,9.143130820188498,9.526183759270378,10.593659237385074,9.913223029238452,8.734578540552567,10.22610876604146,8.939003593377258,9.879556475863769,9.107574154736703,9.627888156746751,10.601617416193962,10.460476524442907,10.997917489439555,10.30211555775772,10.718776521408994,10.244148311349166,9.141442079435565,10.313555654174698,10.528809386677457
spanish and philosophy,9.805568471044062,9.270564410812206,9.796206628244448,9.54934711767369,9.914535847212699,8.904093602875731,8.918039475624505,9.497338490070321,7.07154328309514,9.537701676836445,6.936960124617916,9.315850424581583,10.576521476238325,9.355136000629814,10.116440086002683,10.247178688822482,9.980211907304032,9.985323583252715,9.429872654533163,9.644262241761776,9.520856679794026
global business,10.47904518197532,9.97978050760422,5.972396830476709,9.166215499373221,10.36110655796623,10.445574608119342,9.729093915667985,9.707081434919903,9.470049034479311,10.474987785226473,9.857380496040669,9.619589186811872,10.057872362282504,9.871842541010631,10.038230536637553,10.244546997069076,9.5345868387692,9.603476494448609,9.538486239853436,9.361707071873036,9.870574835315157
french and norwegian,10.945192358531903,9.50157696053136,10.044652039357107,10.019795302012641,10.661907148794349,10.053238384865624,8.898953310706135,9.813076109879523,7.923883495594992,9.988031057917935,9.200198903288046,9.78073635770765,10.859383059010936,10.424183161592303,10.257210201003039,10.943637740502135,10.847010854435599,10.251854292785925,10.189820020450998,9.559961385195397,9.76204699169565
history/psychology,9.972130955597752,8.493099264820007,9.604885477986656,8.508127745974583,9.040452823817464,8.924299419387895,5.2681912879508435,8.83902713555775,7.721357509813751,9.44234505493776,8.082847470921317,8.248911576037221,10.4979871382759,8.413141428911356,9.457301218594091,10.11597354799205,9.298004292890443,9.456221130815932,8.963282485567685,8.860079171669089,8.850415478785285
comparative literature/english literature,9.985523655577593,8.093388718443153,9.606176050988209,8.551749593307902,9.349119276259096,8.331734784404764,7.979144940489549,8.189963452023013,5.566801869074542,8.714245565941665,7.86197954735232,8.493566669262652,10.198896513059081,9.218864602267587,8.907421482408834,10.1448819099451,9.424627559133475,9.19767433808597,9.078432866889989,8.46521390800566,8.29881996278873
psychology of sport,11.247037606142392,9.303698629984746,9.912156561274116,9.462008241713416,9.801947026583933,8.93414722395058,9.851286757662407,9.43752125604572,9.402559511506817,10.155124134198278,9.755679049100845,8.983145970007177,10.938078528878375,8.176176388139163,9.498907304457772,10.393740394810507,9.533491334233348,10.054361837120858,10.341865846655198,8.886651989917274,8.67640412980537
health and medical sciences,10.087068077191658,8.236886336117115,8.252060752055637,7.489184220840673,8.874267077714904,8.405833147096716,9.247051013518611,8.098139314842323,7.883129490554199,8.776466548028326,8.188123598795025,6.8520210673794875,9.89828378608939,7.827811624850017,6.057266328800519,9.21340103097877,8.692942768816344,7.381767260394818,9.245716650222327,0.0,6.921618935026768
accounting & statistics,10.736578189709558,9.250424233306065,8.674766170987263,8.24099278070223,10.081636875814777,10.290064072813548,9.832809934917073,9.896574944287835,9.584966992434044,10.14821032823977,10.46997102743062,9.044376342199843,9.897994371134189,9.435716143430945,9.742509278045013,9.954199064583845,9.734081229445811,8.970683635326406,10.250868606529288,8.762453564975162,9.161106921597469
french and beginners' italian,10.610962120394651,9.10482819525603,10.56090119227684,10.123309389364495,9.8161755613737,9.03120500095301,9.472934526975706,9.387176232548049,6.8334670115824085,10.264763916294392,8.992856369105189,9.891800848800619,10.774749123740497,9.904528539467066,10.089277120600885,10.907583938086262,10.265881456908588,10.563171340806962,9.909192530335854,9.520555953325958,9.582584782309556
esports events management,11.033475452604398,10.253876795976481,10.169827609393428,9.142666313362342,11.056573104057298,10.579356871737586,10.658564297611191,10.149736907017788,10.368532128720213,10.98935370201384,11.177275015475798,10.887684408609527,11.754917949761428,10.811016065086552,11.219808947982541,10.584809263942219,11.070397858031308,11.1789428210927,10.26818254104394,10.617570902377867,11.121206352796786
philosophy and european languages,9.53475659269655,9.134330294816765,9.976276697282799,8.941793684133016,9.621664632396751,9.407049141533133,8.53680051362785,9.113455873746423,6.101543320599175,9.829387788404134,7.193264663086981,9.291523085391155,10.775274576410881,9.263938820404867,9.86671896475263,10.403652319372075,9.669111025109594,9.831693866407628,9.190837478824218,9.474463527712583,9.257959492900499
sports management - blended learning,10.951835372346624,9.446846088378193,9.02464944061508,8.935621540638305,8.862362351103833,9.256052473852026,10.031549801953794,8.973297330927645,9.698770992132937,10.296281150467012,10.20270133552156,9.34701041097032,10.487226332403734,9.360333109732029,9.87410685546624,10.332515895122938,9.595779497588708,10.194941685494612,10.099278373237082,8.99632032824845,9.247774694157796
"robotics, mechatronics, and control engineering",8.901047919582966,8.921944502197732,9.0882518257179,8.210684666862102,9.473044391518483,9.080442552006014,9.612832930593823,8.45238509801951,9.182993099935016,10.310681059873026,9.664384412664118,8.487569081783022,9.725097767970702,8.29534311085772,8.532431046311828,9.39799811112328,7.028879081893284,8.587331282878141,8.639613972550283,8.287661346454177,7.368411647560643
